"miRNA","mRNA","Evidence source","No. seed sites","Best seed class","Seed evidence score","Supporting databases","Database-evidence score","Supporting database records","Canonical seed","Database supported","In 119 supported set","Primary support (canonical seed or database)"
"hsa-miR-31-5p","STK4","seed",3,"7mer-m8",5,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-31-5p","SYNPO2","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-31-5p","ZBTB16","seed",3,"6mer",3,"",NA,0,"No","No","No","no"
"hsa-miR-324-5p","CBL","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-324-5p","MTMR3","both",2,"8mer",5,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-324-5p","NHEJ1","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-324-5p","STK4","both",3,"7mer-A1",6,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-324-5p","ZBTB16","both",5,"8mer",8,"Scored",1.2,1,"Yes","Yes","Yes","yes"
"hsa-miR-326","CBL","both",7,"7mer-m8",12,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-326","LAMP1","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-326","MTMR3","seed",5,"7mer-m8",9,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-326","NAGK","db",0,"",NA,"Scored",0.8,1,"No","Yes","Yes","yes"
"hsa-miR-326","NHEJ1","seed",5,"7mer-A1",6,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-326","NRXN3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-326","RAB6B","seed",4,"8mer",9,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-326","SLC22A8","both",2,"7mer-A1",3,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-326","STK4","both",2,"7mer-A1",4,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-326","SYNPO2","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-326","ZBTB16","seed",4,"7mer-m8",8,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-328-3p","CBL","both",2,"6mer",2,"Scored",0.8,1,"No","Yes","Yes","yes"
"hsa-miR-328-3p","LAMP1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-328-3p","MTMR3","seed",2,"7mer-m8",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-328-3p","NHEJ1","seed",7,"7mer-m8",10,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-328-3p","NRXN3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-328-3p","RAB6B","seed",5,"7mer-m8",8,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-328-3p","SYNPO2","seed",2,"8mer",7,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-328-3p","ZBTB16","seed",2,"7mer-m8",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-342-3p","CBL","seed",3,"7mer-m8",6,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-342-3p","IRF1","both",1,"7mer-m8",3,"Scored",1.8,1,"Yes","Yes","Yes","yes"
"hsa-miR-342-3p","KIAA0825","both",1,"7mer-m8",3,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-342-3p","LAMP1","both",1,"7mer-A1",2,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-342-3p","MTMR3","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-342-3p","NBPF1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-342-3p","NHEJ1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-342-3p","NRXN3","both",2,"7mer-m8",4,"Scored",0.8,1,"Yes","Yes","Yes","yes"
"hsa-miR-342-3p","RAB6B","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-342-3p","STK4","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-342-3p","ZBTB16","seed",2,"7mer-A1",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-421","CBL","seed",3,"7mer-m8",7,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-421","LAMP1","both",1,"7mer-m8",3,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-421","MTMR3","both",3,"8mer",9,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-421","NBPF1","seed",2,"7mer-A1",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-421","NHEJ1","seed",5,"8mer",11,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-421","NPM1","db",0,"",NA,"Scored",1,1,"No","Yes","Yes","yes"
"hsa-miR-421","NRXN3","seed",1,"7mer-A1",2,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-421","RAB6B","both",3,"7mer-A1",4,"Scored",0,1,"Yes","Yes","Yes","yes"
"hsa-miR-421","STK4","both",2,"7mer-A1",3,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-421","SYNPO2","db",0,"",NA,"Scored",3,1,"No","Yes","Yes","yes"
"hsa-miR-421","ZBTB16","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-4492","CBL","both",3,"7mer-m8",8,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-4492","IRF1","both",3,"7mer-m8",6,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-4492","MTMR3","both",2,"8mer",6,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-4492","NBPF1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-4492","NHEJ1","both",4,"7mer-m8",8,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-4492","NRXN3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-4492","RAB6B","both",5,"8mer",13,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-4492","SLC22A8","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-4492","STK4","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-4492","ZBTB16","seed",5,"8mer",15,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-628-3p","CBL","seed",2,"7mer-A1",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-628-3p","MTMR3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-628-3p","NAGK","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-628-3p","STK4","both",1,"8mer",4,"Scored",3,1,"Yes","Yes","Yes","yes"
"hsa-miR-628-3p","SYNPO2","db",0,"",NA,"Scored",3,1,"No","Yes","Yes","yes"
"hsa-miR-93-3p","CBL","seed",4,"8mer",10,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-93-3p","IRF1","seed",2,"7mer-m8",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-93-3p","LAMP1","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-93-3p","MTMR3","seed",4,"7mer-A1",5,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-93-3p","NAGK","seed",2,"8mer",6,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-93-3p","NPM1","db",0,"",NA,"Scored",1,1,"No","Yes","Yes","yes"
"hsa-miR-93-3p","NRXN3","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
"hsa-miR-93-3p","RAB6B","seed",6,"7mer-A1",7,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-93-3p","STK4","seed",1,"7mer-m8",3,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-93-3p","SYNPO2","seed",1,"8mer",4,"",NA,0,"Yes","No","Yes","yes"
"hsa-miR-93-3p","ZBTB16","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-99a-5p","CBL","seed",2,"6mer",2,"",NA,0,"No","No","No","no"
"hsa-miR-99a-5p","MTMR3","both",1,"7mer-m8",3,"Scored",8,1,"Yes","Yes","Yes","yes"
"hsa-miR-99a-5p","RAB6B","seed",1,"6mer",1,"",NA,0,"No","No","No","no"
